Dia_seq;Data;PodCast;Tema;Tempo_audio
129;16/03/2023;129;Positividade.;0:07:06
130;17/03/2023;130;Estoicismo.;0:06:44
131;18/03/2023;131;Utilize seus sentidos.;0:04:43
132;19/03/2023;132;Dependência emocional.;0:10:24
133;20/03/2023;133;Você tem Permissão para ser Cientista de Dados?;0:07:40
134;21/03/2023;134;Crie rituais.;0:04:01
135;22/03/2023;135;Medo sempre vai estar presente. Mas, vá com medo mesmo...;0:05:36
136;23/03/2023;136;Comece agora, domingo de noite!;0:05:04
137;24/03/2023;137;Não peça ajuda, peça apoio.;0:04:00
138;25/03/2023;138;Natureza cura.;0:02:13
139;26/03/2023;139;Otimizando seu tempo.;0:06:09
140;27/03/2023;140;Como manter-se animado.;0:02:38
141;28/03/2023;141;Temos 2 Opções somente... Qual você escolhe?;0:06:53
142;29/03/2023;142;Você acaba de ganhar mais de 10 milhões...;0:03:06
143;30/03/2023;143;Meditação guiada.;0:04:46
144;31/03/2023;144;Foco no que o CDPRO é capaz de fazer pela empresa.;0:05:28
145;01/04/2023;145;Como está sua paz?;0:03:39
146;02/04/2023;146;Saber se vender.;0:03:22
147;03/04/2023;147;Oportunidades batem na porta, mas você se decide se vai abrir ou não...;0:04:41
148;04/04/2023;148;Realizando o Sonho da Casa própria.;0:11:52
149;05/04/2023;149;Ainda sobre sua casa.;0:07:54
150;06/04/2023;150;Sobre a transição de carreira.;0:05:53
151;07/04/2023;151;Sobre aprender e se comprometer.;0:09:27
152;08/04/2023;152;Treinar dói.;0:07:02
153;09/04/2023;153;"Aprenda a lidar com o ""Grande Comitê de merda"".";0:05:03
154;10/04/2023;154;3 recomendações.;0:05:29
155;11/04/2023;155;O que te faz criar Coragem.;0:05:57
156;12/04/2023;156;Estou aqui...;0:04:03
157;13/04/2023;157;Fracasso é um conceito relativo.;0:04:56
158;14/04/2023;158;Escada ou Degrau?;0:03:04
159;15/04/2023;159;"Voce é um ""SER"" humano?";0:06:58
160;16/04/2023;160;Não diminua sua ambição. Aumente sua preparação.;0:06:25
161;17/04/2023;161;Um plano....;0:04:39
162;18/04/2023;162;Habilidades de comunicação.;0:03:11
163;19/04/2023;163;Superando obstáculos.;0:04:19
164;20/04/2023;164;O que vale é daqui para frente.;0:05:35
165;21/04/2023;165;Movimento CDPRO.;0:04:42
166;22/04/2023;166;Pensamento, Sentimento e ação.;0:05:15
167;23/04/2023;167;Nenhum plano sobrevive ao campo de batalha.;0:03:34
168;24/04/2023;168;O que você vai fazer hoje?;0:07:19
169;25/04/2023;169;Randômico ou Automático?;0:04:20
170;26/04/2023;170;Atente-se para a ilusão de ótica.;0:06:47
171;27/04/2023;171;AjudE.;0:08:12
172;28/04/2023;172;Mantenha a perspectiva.;0:08:21
173;29/04/2023;173;Cultive o autoperdão.;0:06:11
174;30/04/2023;174;Música acalma e concentra...;0:02:27
175;01/05/2023;175;Podcast feito por uma IA criada por um CDPRO.;0:02:34
176;02/05/2023;176;Você já fez limpeza de redes sociais?;0:05:09
177;03/05/2023;177;Como você tá pedindo....;0:05:28
178;04/05/2023;178;Custo ou Investimento?;0:04:05
179;05/05/2023;179;Nem tudo muda o ponteiro.;0:04:31
180;06/05/2023;180;A tarefa é sua....;0:06:52
181;07/05/2023;181;Dê o próximo passo.;0:03:32
182;08/05/2023;182;Confiança.;0:08:07
183;09/05/2023;183;A verdade desconfortável.;0:08:13
184;10/05/2023;184;Efeito paralelo.;0:08:11
185;11/05/2023;185;Qual é seu maior sucesso da vida?;0:05:15
186;12/05/2023;186;Fracasso, já teve?;0:02:58
187;13/05/2023;187;Que é você?;0:04:00
188;14/05/2023;188;O melhor horário para aprender qualquer coisa...;0:04:34
189;15/05/2023;189;Preocupe menos com o problema, ocupe mais com a solução.;0:05:10
190;16/05/2023;190;Seja impecável com ...;0:05:34
191;17/05/2023;191;Apenas faça...;0:02:34
192;18/05/2023;192;Véi, progresso é mais importante que resultado!;0:04:53
193;19/05/2023;193;Veja tudo sobre perspectivas.;0:02:27
194;20/05/2023;194;Arrocha na preparação, arrocha no descanso.;0:05:25
195;21/05/2023;195;Books;0:07:47
196;22/05/2023;196;Dê o melhor de si sempre. Quando ele não for o suficiente, Abra-se aos milagres.;0:02:15
197;23/05/2023;197;Vire a moeda...;0:07:14
198;24/05/2023;198;O desconforto é um sinal.;0:06:28
199;25/05/2023;199;Você acredita em você de verdade?;0:08:54
200;26/05/2023;200;Comunicação.;0:07:41
201;27/05/2023;201;História das histórias.;0:06:37
202;28/05/2023;202;Resiliência.;0:06:31
203;29/05/2023;203;O que realmente importa?;0:02:52
204;30/05/2023;204;Resultado é a chave para aumentar sua confiança.;0:06:08
205;31/05/2023;205;205 o que aprendi?;0:09:30
206;01/06/2023;206;A vida é justa e está te esperando.;0:05:38
207;02/06/2023;207;80% é QE   20% QI.;0:04:27
208;03/06/2023;208;Faça um diário.;0:03:38
209;04/06/2023;209;Todos os dias.;0:04:59
210;05/06/2023;210;Derrotas virão.....Viva o luto e regace as mangas....;0:04:35
211;06/06/2023;211;Isso fez diferença ....;0:05:32
212;07/06/2023;212;Faz aí pô.;0:05:46
213;08/06/2023;213;O que houve depois de 212.;0:06:27
214;09/06/2023;214;Sua vida ....;0:04:10
215;10/06/2023;215;Choques surpresas....;0:06:34
216;11/06/2023;216;O poder do compartilhamento.;0:03:57
217;12/06/2023;217;Desafie-se. ;0:04:44
218;13/06/2023;218;Empolgação.;0:02:26
219;14/06/2023;219;Imergir.;0:02:51
220;15/06/2023;220;Faca na caveira.;0:07:20
221;16/06/2023;221;Se você soubesse que isso fosse o suficiente, você faria?;0:04:37
222;17/06/2023;222;Qual a mensagem que você quer mandar para você mesmo de 2 anos atrás?;0:08:57
223;18/06/2023;223;Dias de luta e dias de glória.;0:01:05
224;19/06/2023;224;Como é bom andar com os comprometidos.;0:03:34
225;20/06/2023;225;Sem fronteiras.;0:07:13
226;21/06/2023;226;Assim, melhora ou piora?;0:07:00
227;22/06/2023;227;Mudar.;0:05:18
228;23/06/2023;228;Reta final.;0:02:44
229;24/06/2023;229;10 horas...;0:04:33
230;25/06/2023;230;Será 230? ;0:03:54
231;26/06/2023;231;Faça o seu melhor.;0:04:12
232;27/06/2023;232;Um novo começo.;0:04:10
233;28/06/2023;233;Não leve para lado pessoal.;0:05:28
234;29/06/2023;234;Seu estado.;0:03:16
235;30/06/2023;235;Valorize as pessoas.;0:02:19
236;01/07/2023;236;Efeito lateral.;0:06:17
237;02/07/2023;237;Reforço.;0:03:49
238;03/07/2023;238;Me empresta seu tempo.;0:03:41
239;04/07/2023;239;Não lute contra a IA.;0:05:29
240;05/07/2023;240;Surfe a onda.;0:03:38
241;06/07/2023;241;Algumas coisas aconteceram para te deixar mais forte.;0:06:06
242;07/07/2023;242;"Você já implementou a estratégia ""perdeu, faz o dobro""?";0:03:52
243;08/07/2023;243;"Use esta frase, sempre:""Ainda dá tempo""";0:03:44
244;09/07/2023;244;Não deixe de tentar.;0:02:40
245;10/07/2023;245;Não perca a chance de ser feliz.;0:02:03
246;11/07/2023;246;Quem aprende não depende.;0:04:16
247;12/07/2023;247;Its time....;0:03:56
248;13/07/2023;248;O que você não enxerga.;0:04:18
249;14/07/2023;249;Colabore.;0:03:16
250;15/07/2023;250;A sua maior virtude.;0:10:14
251;16/07/2023;251;Proteja sua confiança.;0:05:50
